id,occupancy_status,unit_status,units_in_building,unit_floor,year_built,bedrooms
12102443,1,80,2,1,5,1
12102444,1,97,9,5,5,3
12102506,1,90,4,4,2,3
12102509,1,97,10,6,5,1
12102510,1,32,8,5,4,0
12102524,1,5,9,3,11,2
12102532,1,12,4,3,10,3
12102537,1,6,2,1,2,5
12102549,1,80,9,1,5,2
12102596,1,80,4,1,4,2
12102628,1,32,9,5,5,1
12102638,1,32,10,4,4,2
12102658,1,80,4,2,4,2
12102659,1,80,3,1,11,2
12102670,1,32,9,1,3,1
12102678,1,6,4,2,3,1
12102681,1,6,2,1,3,6
12102687,1,32,9,2,10,1
12102744,1,32,8,4,5,1
12102745,1,97,10,5,6,1
12102752,1,80,3,0,8,0
12102758,2,80,7,5,3,2
12102767,1,80,5,3,11,2
12102769,2,32,5,2,3,2
12102782,4,4,1,-2,2,5
12102797,1,80,2,2,2,2
12102818,1,32,10,4,5,0
12102866,1,96,10,7,6,2
12102872,1,80,3,2,6,2
12102874,1,80,8,4,11,1
12102886,1,32,10,6,10,1
12102905,1,32,7,2,2,1
12102909,1,32,5,2,10,1
12102924,1,5,8,5,8,1
12102965,1,32,10,5,6,1
12102976,1,80,4,1,4,1
12102992,1,32,5,2,4,3
12102994,1,97,10,6,5,2
12102997,1,80,2,2,1,2
12103008,1,32,9,1,4,1
12103013,1,97,10,5,7,1
12103024,1,5,10,5,5,3
12103034,4,4,4,1,3,1
12103035,1,32,10,5,5,2
12103065,1,80,10,5,6,2
12103091,1,6,2,1,4,1
12103096,1,32,6,3,5,3
12103107,1,5,9,5,6,2
12103128,1,32,7,1,3,1
12103129,1,32,9,5,6,1
12103155,1,2,9,3,5,2
12103160,1,80,9,1,6,1
12103162,1,97,9,4,7,4
12103167,1,80,5,3,6,3
12103171,1,32,5,2,2,3
12103174,1,32,5,3,2,2
12103177,1,97,10,5,5,3
12103185,1,80,1,-2,1,1
12103222,1,97,5,2,7,1
12103233,1,80,4,3,2,2
12103235,2,80,3,3,2,1
12103237,1,5,8,5,5,2
12103246,1,80,9,5,5,2
12103250,1,2,10,6,5,2
12103260,1,32,10,4,11,2
